0;9;11;True;Black
0;9;12;True;White
0;9;13;True;White
0;9;14;True;White
0;9;15;True;White
1;9;11;True;Black
1;9;12;True;White
1;9;13;True;White
1;9;14;True;White
1;9;15;True;White
2;9;11;True;Black
2;9;12;True;White
2;9;13;True;White
2;9;14;True;White
2;9;15;True;White
3;9;11;True;Black
3;9;12;True;White
3;9;13;True;White
3;9;14;True;White
3;9;15;True;White
4;9;11;True;Black
4;9;12;True;White
4;9;13;True;White
4;9;14;True;White
4;9;15;True;White
5;9;11;True;Black
5;9;12;True;White
5;9;13;True;White
5;9;14;True;White
5;9;15;True;White
6;9;11;True;Black
6;9;12;True;White
6;9;13;True;White
6;9;14;True;White
6;9;15;True;White
7;9;11;True;Black
7;9;12;True;White
7;9;13;True;White
7;9;14;True;White
7;9;15;True;White
8;9;11;True;Black
8;9;12;True;White
8;9;14;True;White
8;9;15;True;White
8;10;13;True;Brown
8;11;13;True;Brown
8;12;13;True;Gold
9;9;11;True;Black
9;9;12;True;White
9;9;13;True;White
9;9;14;True;White
9;9;15;True;White
10;9;11;True;Black
10;9;12;True;Black
10;9;13;True;Black
10;9;14;True;Black
10;9;15;True;Black
